exch,contract,area,code,indust,name,product,exchg
SSE,600226,湖州市,600226,传媒,瀚叶股份,STK,SSE
SSE,600227,清镇市,600227,医药生物,圣济堂,STK,SSE
SSE,600228,赣州市,600228,化工,ST昌九,STK,SSE
SSE,600229,青岛市,600229,传媒,城市传媒,STK,SSE
SSE,600230,沧州市,600230,化工,沧州大化,STK,SSE
SSE,600231,凌源市,600231,钢铁,凌钢股份,STK,SSE
SSE,600232,舟山市,600232,纺织服装,金鹰股份,STK,SSE
SSE,600233,大连市,600233,交通运输,圆通速递,STK,SSE
SSE,600234,太原市,600234,综合,ST山水,STK,SSE
SSE,600235,嘉兴市,600235,轻工制造,民丰特纸,STK,SSE
SSE,600236,南宁市,600236,公用事业,桂冠电力,STK,SSE
SSE,600237,铜陵市,600237,电子,铜峰电子,STK,SSE
SSE,600238,海口市,600238,食品饮料,ST椰岛,STK,SSE
SSE,600239,昆明市,600239,房地产,云南城投,STK,SSE
SSE,600240,北京市,600240,0,退市华业(退市),STK,SSE
SSE,600241,大连市,600241,电气设备,时代万恒,STK,SSE
SSE,600242,阳江市,600242,传媒,中昌数据,STK,SSE
SSE,600243,西宁市,600243,机械设备,青海华鼎,STK,SSE
SSE,600246,北京市,600246,房地产,万通地产,STK,SSE
SSE,600247,吉林市,600247,商业贸易,ST成城,STK,SSE
SSE,600248,咸阳市,600248,建筑装饰,延长化建,STK,SSE
SSE,600249,柳州市,600249,化工,两面针,STK,SSE
SSE,600250,南京市,600250,商业贸易,南纺股份,STK,SSE
SSE,600251,铁门关市,600251,农林牧渔,冠农股份,STK,SSE
SSE,600252,梧州市,600252,医药生物,中恒集团,STK,SSE
SSE,600253,驻马店市,600253,0,天方药业(退市),STK,SSE
SSE,600255,芜湖市,600255,有色金属,梦舟股份,STK,SSE
SSE,600256,乌鲁木齐市,600256,化工,广汇能源,STK,SSE
SSE,600257,常德市,600257,农林牧渔,大湖股份,STK,SSE
SSE,600258,北京市,600258,休闲服务,首旅酒店,STK,SSE
SSE,600259,海口市,600259,有色金属,广晟有色,STK,SSE
SSE,600260,荆州市,600260,通信,凯乐科技,STK,SSE
SSE,600261,绍兴市,600261,电子,阳光照明,STK,SSE
SSE,600262,包头市,600262,机械设备,北方股份,STK,SSE
SSE,600263,北京市,600263,0,路桥建设(退市),STK,SSE
SSE,600265,普洱市,600265,农林牧渔,ST景谷,STK,SSE
SSE,600266,北京市,600266,房地产,城建发展,STK,SSE
SSE,600267,台州市,600267,医药生物,海正药业,STK,SSE
SSE,600268,南京市,600268,电气设备,国电南自,STK,SSE
SSE,600269,南昌市,600269,交通运输,赣粤高速,STK,SSE
SSE,600270,北京市,600270,0,外运发展(退市),STK,SSE
SSE,600271,北京市,600271,计算机,航天信息,STK,SSE
SSE,600272,上海市,600272,医药生物,开开实业,STK,SSE
SSE,600273,平湖市,600273,化工,嘉化能源,STK,SSE
SSE,600275,鄂州市,600275,农林牧渔,ST昌鱼,STK,SSE
